Elutriation				
UID	NANE	PROCESS	FUNCTION	CLASSIFICATION (Spellman et al. [3])
YJR065C	ARP3	cytoskeleton	actin-related protein
YJR066W	TOR1	"signaling, cell cycle and meiosis"	phosphatidylinositol 3-kinase
YJR067C	YAE1	unknown	unknown
YJR068W	RFC2	DNA replication	replication factor C 41 kD subunit
YJR069C	HAM1	6-N-hydroxylaminopurine resistance	unknown
YJR070C	YJR070C	unknown	unknown
YJR071W	YJR071W	unknown	unknown
YJR072C	YJR072C	unknown	unknown
YJR073C	OPI3	phospholipid metabolism	methylene-fatty-acyl-phospholipid synthase
YJR074W	MOG1	unknown	unknown; interacts with Gsp1p
YJR075W	HOC1	protein glycosylation	putative mannosyltransferase
YJR076C	CDC11	cytokinesis	septin
YJR077C	MIR1	transport	mitochondrial phosphate transporter
YJR078W	YJR078W	unknown	"unknown; similar to indoleamine 2,3-dioxygenase"	
YJR079W	YJR079W	unknown	unknown	
YJR080C	YJR080C	unknown	unknown; similar to Arg8p	
YJR082C	YJR082C	unknown	unknown	
YJR083C	YJR083C	unknown	unknown	
YJR084W	YJR084W	unknown	unknown; similar to human sodium channel protein HI	
YJR085C	YJR085C	unknown	unknown	
YJR086W	STE18	"signaling, pheromone pathway"	gamma subunit of G protein	
YJR087W	YJR087W	unknown	unknown	
YJR088C	YJR088C	unknown	unknown	
YJR089W	BIR1	unknown	unknown	
YJR090C	GRR1	glucose repression (and cell cycle)	cyclin F box protein	
YJR091C	JSN1	mitosis (putative)	unknown; suppresses tub2-150	
YJR092W	BUD4	"bud site selection, axial"	unknown	G2/M
YJR093C	FIP1	mRNA polyadenylation	interacts with poly(A) polymerase	
YJR094C	IME1	meiosis	transcription factor	
YJR095W	SFC1	transport	mitochondrial succinate-fumarate carrier	
YJR096W	YJR096W	unknown	unknown; similar to aldolase reductase	
YJR097W	YJR097W	unknown	unknown; similar to E. coli DnaJ	
YJR098C	YJR098C	unknown	unknown	
YJR099W	YUH1	"protein degradation, ubiquitin-mediated"	ubiquitin-specific protease	
YJR100C	YJR100C	unknown	unknown	
YJR101W	YJR101W	unknown	unknown; similar to superoxide dismutase	
YJR102C	YJR102C	unknown	unknown	
YJR103W	URA8	pyrimidine biosynthesis	CTP synthase	
YJR104C	SOD1	oxidative stress response	copper-zinc superoxide dismutase	
YJR105W	YJR105W	unknown	unknown; similar to ribokinase	
YJR106W	ECM27	cell wall biogenesis	unknown	
YJR107W	YJR107W	unknown	unknown; similar to acylglycerol lipase	
YJR108W	ABM1	cytoskeleton (putative)	unknown	
YJR109C	CPA2	glutamate metabolism	carbamyl phosphate synthetase	
YJR110W	YJR110W	unknown	unknown	S/G2
YJR111C	YJR111C	unknown	unknown
YJR112W	NNF1	mitosis	nuclear envelope protein
YJR113C	YJR113C	protein synthesis	"ribosomal protein, mitochondrial S7 (putative)"
YJR114W	YJR114W	unknown	unknown
YJR115W	YJR115W	unknown	unknown
YJR116W	YJR116W	unknown	unknown
YJR117W	STE24	protein processing	zinc metalloprotease; a-factor precursor processing
YJR118C	ILM1	mitochondrial genome maintenance (putative)	unknown
YJR119C	YJR119C	unknown	unknown; similar to human retinoblastoma binding protein 2
YJR120W	YJR120W	unknown	unknown
YJR121W	ATP2	ATP synthesis	"F1F0-ATPase complex, F1 beta subunit"
YJR122W	CAF17	catabolite repression	component of CCR4 transcriptional complex
YJR123W	RPS5	protein synthesis	ribosomal protein S5
YJR124C	YJR124C	unknown	unknown; similar to multidrug resistance proteins
YJR125C	ENT3	endocytosis (putative)	unknown; epsin homolog
YJR126C	YJR126C	unknown	unknown; similar to transferrin receptor
YJR127C	ZMS1	unknown	unknown; similar to Adr1p and Yml081p	
YJR128W	YJR128W	unknown	unknown	
YJR129C	YJR129C	unknown	unknown	
YJR130C	YJR130C	unknown	unknown; similar to O-succinylhomoserine (thiol)-lyase	
YJR131W	MNS1	protein glycosylation	specific alpha-mannosidase	
YJR132W	NMD5	unknown	Nam7p/Upf1p-interacting protein	
YJR133W	XPT1	xanthine utilization	xanthine phosphoribosyltransferase	
YJR134C	SGM1	unknown; growth on galactose or mannose	unknown	
YJR135C	MCM22	"mitosis, chromosome segregation"	unknown	
YJR136C	YJR136C	unknown	unknown	
YJR137C	ECM17	cell wall biogenesis	unknown	S
YJR138W	IML1	plasmid maintenance (outative)	unknown	
YJR139C	HOM6	methionine and threonine biosynthesis	homoserine dehydrogenase	
YJR140C	HIR3	transcription	regulator of histone transcription	
YJR141W	YJR141W	unknown	unknown	
YJR142W	YJR142W	unknown	unknown; similar to thiamine pyrophosphokinase	
YJR143C	PMT4	protein glycosylation	dolichyl phosphate-D-mannose:protein O-D-mannosyltransferase	
YJR144W	MGM101	mitochondrial genome maintenance	(putative) nucleic acid interactor	
YJR145C	RPS4A	protein synthesis	ribosomal protein S4A	
YJR146W	YJR146W	unknown	unknown	
YJR147W	HMS2	pseudohyphal growth	transcription factor	
YJR148W	BAT2	branched chain amino acid biosynthesis	transaminase	G1
YJR149W	YJR149W	unknown	unknown; similar to 2-nitropropane dioxygenase	
YJR150C	DAN1	unknown	unknown; induced during anaerobic growth	
YJR151C	YJR151C	unknown	unknown	
YJR152W	DAL5	allantoin utilization	allantoate permease	
YJR153W	PGU1	unknown	endo-polygalacturonase	
YJR154W	YJR154W	unknown	unknown	G1
YJR155W	AAD10	unknown	hypothetical aryl-alcohol dehydrogenase	G1
YJR156C	THI11	pyrimidine biosynthesis	thiamine regulated gene	
YJR157W	YJR157W	unknown	unknown	
YJR158W	HXT16	transport	hexose permease	
YJR159W	SOR1	sorbitol metabolism	sorbitol dehydrogenase	
YJR160C	YJR160C	unknown	unknown; similar to maltose permeases (maltose/H+	
YJR161C	COS5	unknown	unknown; similar to subtelomerically-encoded proteins	
YJR162C	YJR162C	unknown	unknown; similar to subtelomerically-encoded proteins	
YKL001C	MET14	sulfate assimilation	adenylylsulfate kinase	S
YKL002W	YKL002W	unknown	unknown	
YKL003C	MRP17	protein synthesis	"ribosomal protein, mitochondrial small subunit"	
YKL004W	AUR1	sphingolipid metabolism	phosphatidylinositol:ceramide phosphoinositol transferase	S/G2
YKL005C	YKL005C	unknown	"unknown; similar to Drosophila transcription factor TFIIS,"	
YKL006W	RPL14A	protein synthesis	ribosomal protein L14A	
YKL007W	CAP1	cytoskeleton	actin capping protein subunit	
YKL008C	LAC1	aging	"unknown; similar to Lag1p, has 6 potential transmembrane"	S
YKL009W	MRT4	mRNA decay	unknown	
YKL010C	UFD4	"protein degradation, ubiquitin-mediated"	unknown; may influence multi-Ub chain topology	
YKL011C	CCE1	tRNA processing	cruciform cutting endonuclease	
YKL012W	PRP40	mRNA splicing	U1 snRNP protein	
YKL013C	ARC19	cytoskeleton	cortical actin patch integrity
YKL014C	YKL014C	unknown	unknown
YKL015W	PUT3	transcription	positive regulator of PUT genes
YKL016C	ATP7	ATP synthesis	"F1F0-ATPase complex, FO D subunit"
YKL017C	HCS1	DNA replication	DNA helicase A
YKL018W	YKL018W	unknown	unknown
YKL019W	RAM2	protein processing	"protein farnesyltransferase, alpha subunit"
YKL020C	SPT23	transcription	transcription factor
YKL021C	MAK11	dsRNA virus propagation	unknown; essential gene
YKL022C	CDC16	cell cycle	anaphase-promoting complex subunit
YKL023W	YKL023W	unknown	unknown
YKL024C	URA6	pyrimidine metabolism	uridine-monophosphate kinase
YKL025C	PAN3	mRNA processing	Pab1p-dependent poly(A) ribonuclease subunit
YKL026C	YKL026C	unknown	"unknown; similar to Hyr1p, Ybr244p, and glutathione"
YKL027W	YKL027W	unknown	unknown; similar to E. coli molybdopterin-converting factor
YKL028W	TFA1	transcription	TFIIE 66 kD subunit
YKL029C	MAE1	pyruvate metabolism	mitochondrial malic enzyme	
YKL030W	YKL030W	unknown	unknown	
YKL031W	YKL031W	unknown	unknown	
YKL032C	IXR1	"transcription, oxygen-dependent"	HMG-transcription factor	
YKL033W	YKL033W	unknown	unknown	
YKL034W	YKL034W	unknown	unknown	
YKL035W	UGP1	pyrimidine metabolism	"UGP1, UDP-glucose pyrophosphorylase"	S/G2
YKL036C	YKL036C	unknown	unknown	
YKL037W	YKL037W	unknown	unknown	
YKL038W	RGT1	(glucose) transport	transcriptional regulator of glucose transporters	
YKL039W	PTM1	unknown	"unknown; similar to Yhl017p, member of the major facilitator superfamily"	
YKL040C	NFU1	iron homeostasis	unknown; similar to Anabaena nitrogen fixing protein nifU	
YKL041W	VPS24	vacuolar protein targeting	component of class E protein complex	
YKL042W	SPC42	cytoskeleton	spindle pole body component	G1
YKL043W	PHD1	pseudohyphal growth	transcription factor	G2/M
YKL044W	YKL044W	unknown	unknown	G2/M
YKL045W	PRI2	DNA replication	polymerase alpha 58 kD subunit (DNA primase)	G1
YKL046C	YKL046C	unknown	unknown	
YKL047W	YKL047W	unknown	unknown	
YKL048C	ELM1	pseudohyphal growth	protein kinase	S/G2
YKL049C	CSE4	"chromatin structure, centromeric"	histone-related	
YKL050C	YKL050C	unknown	unknown	
YKL051W	YKL051W	unknown	unknown	
YKL052C	YKL052C	unknown	unknown	S/G2
YKL053W	YKL053W	unknown	unknown	
YKL054C	YKL054C	unknown	unknown	
YKL055C	OAR1	respiration	3-oxo-acyl-(acyl carrier protein) reductase	
YKL056C	YKL056C	unknown	unknown	
YKL057C	NUP120	nuclear protein targeting	nuclear pore protein	
YKL058W	TOA2	transcription	TFIIA 13.5 kD subunit	
YKL059C	YKL059C	unknown	unknown; similar to members of the chaperonin-containing	
YKL060C	FBA1	glycolysis	aldolase	
YKL061W	YKL061W	unknown	unknown	
YKL062W	MSN4	transcription	transcriptional activator with Snf1p	
YKL063C	YKL063C	unknown	unknown	
YKL064W	MNR2	manganese resistance	unknown	
YKL065C	YET1	unknown	ER 25 kDa transmembrane protein	S
YKL066W	YKL066W	unknown	unknown	G1
YKL067W	YNK1	nucleotide metabolism	nucleoside diphosphate kinase	G1
YKL068W	NUP100	nuclear protein targeting	nuclear pore protein	
YKL069W	YKL069W	unknown	unknown	S/G2
YKL070W	YKL070W	unknown	unknown; similar to Bacillus subtilis transcriptional	
YKL071W	YKL071W	unknown	unknown	
YKL072W	STB6	unknown	binds Sin3p	
YKL073W	LHS1	secretion	chaperone; ER protein translocation	
YKL074C	MUD2	mRNA splicing	commitment complex component	
YKL075C	YKL075C	unknown	unknown	
YKL076C	YKL076C	unknown	unknown	
YKL077W	YKL077W	unknown	unknown	
YKL078W	YKL078W	unknown	putative RNA helicase	
YKL079W	SMY1	cytoskeleton	kinesin-related protein	
YKL080W	VMA5	vacuolar acidification	vacuolar H+-ATPase V1 sector subunit	
YKL081W	TEF4	protein synthesis	translation elongation factor EF-1gamma	
YKL082C	YKL082C	unknown	unknown	
YKL083W	YKL083W	unknown	unknown	
YKL084W	YKL084W	unknown	unknown	
YKL085W	MDH1	TCA cycle	malate dehydrogenase	
YKL086W	YKL086W	unknown	unknown	
YKL087C	CYT2	cytochrome c1 biosynthesis	cytochrome c1 heme lyase	
YKL088W	YKL088W	unknown	unknown; similar to Sis2p	
YKL089W	MIF2	mitosis	centromere protein	G1
YKL090W	YKL090W	unknown	unknown	
YKL091C	YKL091C	unknown	unknown; similar to Sec14p	
YKL092C	BUD2	bud site selection	GTPase-activating protein for Rsr1p/Bud1p	
YKL093W	MBR1	mitochondrial biogenesis	unknown	
YKL094W	YJU3	unknown	unknown; similar to E.coli hypothetical protein	
YKL095W	YJU2	unknown	unknown	
YKL096W	CWP1	cell wall protein	"beta-1,6-glucan acceptor"	S/G2
YKL097C	YKL097C	unknown	unknown	
YKL098W	YKL098W	unknown	unknown	
YKL099C	YKL099C	unknown	unknown; similar to human kinesin heavy chain	
YKL100C	YKL100C	unknown	unknown	
YKL101W	HSL1	cell cycle	negative regulator of swe1 kinase	G1
YKL102C	YKL102C	unknown	unknown; similar to potato lipoxygenase	
YKL103C	LAP4	protein degradation	vacuolar aminopeptidase ysc1	G1
YKL104C	GFA1	cell wall biogenesis	chitin biosynthesis	M/G1
YKL105C	YKL105C	unknown	unknown	
YKL106W	AAT1	aspartate metabolism?	"aspartate aminotransferase,"	
YKL107W	YKL107W	unknown	unknown	
YKL108W	SLD2	DNA replication	unknown; interacts with Dpb11p	G1
YKL109W	HAP4	transcription	component of heterotrimeric CCAAT-binding factor	
YKL110C	KTI12	killer toxin resistance	unknown	
YKL111C	YKL111C	unknown	unknown	
YKL112W	ABF1	transcription	ARS-binding factor	
YKL113C	RAD27	DNA repair	ssDNA endonuclease	G1
YKL114C	APN1	DNA repair	apurinic/apyrimidinic endonuclease	
YKL115C	YKL115C	unknown	unknown	
YKL116C	YKL116C	unknown	putative protein kinase	M/G1
YKL117W	SBA1	protein folding	Hsp90 associated co-chaperone	
YKL118W	YKL118W	unknown	unknown	
YKL119C	VPH2	vacuolar acidification	vacuolar H+-ATPase assembly protein	
YKL120W	OAC1	transport	oxaloacetate carrier	
YKL121W	YKL121W	unknown	unknown	
YKL122C	SRP21	secretion	signal recognition particle subunit	
YKL123W	YKL123W	unknown	unknown	
YKL124W	SSH4	unknown	suppresses shr3 mutation	
YKL125W	RRN3	transcription	RNA polymerase I transcription factor	
YKL126W	YPK1	unknown	protein kinase	
YKL127W	PGM1	glycolysis	phosphoglucomutase	G1
YKL128C	PMU1	unknown	phosphomutase homolog; suppresses ts tps2 mutant	
YKL129C	MYO3	cytoskeleton	"myosin, class I"	
YKL130C	SHE2	cell polarity	asymmetric HO expression	G2/M
YKL131W	YKL131W	unknown	unknown	
YKL132C	RMA1	unknown; mating (putative)	unknown; similar to folylpolyglutamate synthase	
YKL133C	YKL133C	unknown	unknown	
YKL134C	1-Oct	mitochondrial protein targeting	mitochondrial intermediate peptidase	
YKL135C	APL2	secretion	AP-1 complex subunit	
YKL136W	YKL136W	unknown	unknown	
YKL137W	YKL137W	unknown	unknown	
YKL138C	MRPL31	protein synthesis	"ribosomal protein, mitochondrial L31"	
YKL139W	CTK1	transcription	protein kinase; phosphorylates RNA pol. II subunit	
YKL140W	TGL1	glycerolipid metabolism	triglyceride lipase-cholesterol esterase	
YKL141W	SDH3	"TCA cycle, oxidative phosphorylation"	succinate dehydrogenase cytochrome b	
YKL142W	MRP8	protein synthesis	"ribosomal protein, mitochondrial small subunit"	
YKL143W	LTV1	unknown	unknown; required for viability at low temperature	
YKL144C	RPC25	transcription	RNA polymerase III 25 kD subunit	
YKL145W	RPT1	"protein degradation, ubiquitin-mediated"	26S proteasome subunit	
YKL146W	YKL146W	unknown	unknown; similar to members of a putative transporter family	
YKL147C	YKL147C	unknown	unknown	
YKL148C	SDH1	"TCA cycle, oxidative phosphorylation"	succinate dehydrogenase flavoprotein subunit	
YKL149C	DBR1	mRNA splicing	debranching enzyme	
YKL150W	MCR1	electron carrier	cytochrome-b5 reductase	
YKL151C	YKL151C	unknown	unknown	M/G1
YKL152C	GPM1	glycolysis	phosphoglycerate mutase	
YKL153W	YKL153W	unknown	unknown	
YKL154W	SRP102	secretion	signal recognition particle subunit	
YKL155C	YKL155C	unknown	unknown	
YKL156W	RPS27A	protein synthesis	ribosomal protein S27A	
YKL157W	APE2	protein degradation	aminopeptidase yscII	
YKL158W	YKL158W	unknown	unknown	
YKL159C	RCN1	signaling	unknown; calcineurin regulator	
YKL160W	YKL160W	unknown	unknown	
YKL161C	YKL161C	unknown	putative protein kinase	
YKL162C	YKL162C	unknown	unknown	
YKL163W	PIR3	unknown	unknown; similar to members of the Pir1p/Hsp150p/Pir3p	M/G1
YKL164C	PIR1	unknown	unknown; Pir1p/Hsp150p/Pir3p family	M/G1
YKL165C	MCD4	sporulation	morphogenesis checkpoint	G1
YKL166C	TPK3	"signaling, nutrient control of cell growth"	cAMP-dependent protein kinase catalytic subunit	
YKL167C	MRP49	protein synthesis	"ribosomal protein, mitochondrial large subunit"	
YKL168C	KKQ8	unknown	protein kinase	
YKL169C	YKL169C	unknown	unknown	
YKL170W	MRPL38	protein synthesis	"ribosomal protein, mitochondrial L38"	
YKL171W	YKL171W	unknown	putative protein kinase	
YKL172W	EBP2	unknown	unknown; EBNA1-binding protein homolog	G2/M
YKL173W	SNU114	mRNA splicing	U5 snRNP protein	
YKL174C	YKL174C	unknown	unknown; similar to Hnm1p and other permeases	
YKL175W	YKL175W	unknown	unknown	
YKL176C	YKL176C	unknown	unknown	
YKL177W	YKL177W	unknown	unknown	M/G1
YKL178C	STE3	mating	a-factor receptor	M/G1
YKL179C	YKL179C	unknown	unknown; similar to kinesin and human kinesin-related	
YKL180W	RPL17A	protein synthesis	ribosomal protein L17A	
YKL181W	PRS1	"purine, pyrimidine, tryptophan and histidine biosynthesis"	phosphoribosylpyrophosphate synthetase	
YKL182W	FAS1	fatty acid metabolism	"fatty-acyl-CoA synthase, beta subunit"	M/G1
YKL183W	YKL183W	unknown	unknown	S/G2
YKL184W	SPE1	polyamine biosynthesis	ornithine decarboxylase	
YKL185W	ASH1	mating type switching	transcription factor	M/G1
YKL186C	MTR2	mRNA export	unknown	
YKL187C	YKL187C	unknown	unknown; similar to 4-mycarosyl isovaleryl-CoA transferase	
YKL188C	PXA2	transport	"peroxisomal fatty acid transporter, ABC family"	
YKL189W	HYM1	unknown	unknown; similar to Aspergillus nidulans hymA which is
YKL190W	CNB1	signaling	calcineurin regulatory B subunit
YKL191W	DPH2	diphthamide biosynthesis	unknown
YKL192C	ACP1	fatty acid biosynthesis	mitochondrial acyl carrier protein
YKL193C	SDS22	glucose repression	Glc7p regulatory subunit
YKL194C	MST1	protein synthesis	"tRNA synthetase, mitochondrial, threonyl"
YKL195W	YKL195W	unknown	unknown
YKL196C	YKT6	secretion	ER-to-Golgi v-SNARE
YKL197C	PEX1	peroxisome biogenesis	ATPase (putative)
YKL198C	PTK1	polyamine transport	ser/thr protein kinase
YKL199C	YKT9	unknown	unknown
YKL201C	MNN4	protein glycosylation	phosphatidylinositol kinase homolg
YKL202W	YKL202W	unknown	unknown
YKL203C	TOR2	"signaling, cell cycle, meiosis and actin cytoskeleton organization"	phosphatidylinositol 3-kinase
YKL204W	YKL204W	unknown	unknown
YKL205W	LOS1	tRNA splicing	nuclear pore protein
YKL206C	YKL206C	unknown	unknown	
YKL207W	YKL207W	unknown	unknown	
YKL208W	CBT1	"mRNA processing, COB mRNA"	unknown	
YKL209C	STE6	mating	a-factor exporter (ABC superfamily)	G2/M
YKL210W	UBA1	"protein degradation, ubiquitin-mediated"	E1-like (ub.-activating) enzyme	
YKL211C	TRP3	tryptophan biosynthesis	anthranilate synthase component II and indole-3-phosphate synthase	
YKL212W	SAC1	secretion	ER/Golgi ATP/ADP exchanger	
YKL213C	DOA1	"protein degradation, ubiquitin-mediated"	unknown	
YKL214C	YKL214C	unknown	unknown	
YKL215C	YKL215C	unknown	unknown; similar to Pseudomonas hydantoinases hyuA-hyuB	
YKL216W	URA1	pyrimidine biosynthesis	dihydroorotate dehydrogenase	
YKL217W	JEN1	transport	lactate transporter	
YKL218C	SRY1	serine metabolism	serine racemase	
YKL219W	COS9	unknown	unknown; similar to subtelomerically-encoded proteins	
YKL220C	FRE2	iron homeostasis	ferric (and cupric) reductase	
YKL221W	YKL221W	unknown	unknown; similar to mammalian monocarboxylate	
YKL222C	YKL222C	unknown	"unknown; similar to transcription factors, has Zn[2]-Cys[6]"	
YKL223W	YKL223W	unknown	unknown	
YKL224C	YKL224C	unknown	"unknown; similar to Ybr301p, member of the PAU1 family"	
YKL225W	YKL225W	unknown	unknown	
YKR001C	VPS1	vacuolar protein targeting	"GTPase, dynamin family"	
YKR002W	PAP1	mRNA polyadenylation	poly(A) polymerase	
YKR003W	YKR003W	unknown	unknown; similar to human oxysterol-binding protein	
YKR004C	ECM9	cell wall biogenesis	unknown	
YKR005C	YKR005C	unknown	unknown	
YKR006C	MRPL13	protein synthesis	"ribosomal protein, mitochondrial L13"	
YKR007W	YKR007W	unknown	unknown	
YKR008W	RSC4	chromatin structure	chromatin remodeling complex subunit	
YKR009C	FOX2	fatty acid metabolism	peroxisomal beta-oxidation protein	
YKR010C	TOF2	DNA replication (putative)	interacts with DNA	S
YKR011C	YKR011C	unknown	unknown	
YKR012C	YKR012C	unknown	unknown	G1
YKR013W	PRY2	unknown	unknown; similar to plant PR-pathogen related proteins	G1
YKR014C	YPT52	endocytosis	"GTP-binding protein, rab family"	
YKR015C	YKR015C	unknown	unknown	
YKR016W	YKR016W	unknown	unknown	
YKR017C	YKR017C	unknown	unknown	
YKR018C	YKR018C	unknown	unknown	
YKR019C	IRS4	silencing (rDNA)	unknown	
YKR020W	YKR020W	unknown	unknown	
YKR021W	YKR021W	unknown	unknown	G2/M
YKR022C	YKR022C	unknown	unknown	
YKR023W	YKR023W	unknown	unknown	
YKR024C	DBP7	ribosome biogenesis	putative RNA helicase	
YKR025W	RPC37	transcription	RNA polymerase III 37 kDa subunit	
YKR026C	GCN3	protein synthesis	translation initiation factor EIF2B	
YKR027W	YKR027W	unknown	unknown	
YKR028W	SAP190	cell cycle	Sit4p-associated protein	
YKR029C	YKR029C	unknown	unknown; similar to E(z) Enhancer of zeste in the C-terminal	
YKR030W	YKR030W	unknown	unknown	
YKR031C	SPO14	meiosis	phospholipase D	
YKR032W	YKR032W	unknown	unknown	
YKR033C	YKR033C	unknown	unknown; similar to Gat1p	
YKR034W	DAL80	nitrogen catabolism	transcription factor	
YKR035C	YKR035C	unknown	unknown	
YKR036C	CAF4	catabolite repression	component of CCR4 transcriptional complex	
YKR037C	SPC34	cytoskeleton	spindle pole body component	S
YKR038C	YKR038C	unknown	unknown; similar to Qri7p and Pasteurella haemolytica	
YKR039W	GAP1	transport	general amino acid permease	S/G2
YKR040C	YKR040C	unknown	unknown	
YKR041W	YKR041W	unknown	unknown	S/G2
YKR042W	UTH1	aging	unknown	G2/M
YKR043C	YKR043C	unknown	unknown	
YKR044W	YKR044W	unknown	unknown	
YKR045C	YKR045C	unknown	unknown	
YKR046C	YKR046C	unknown	unknown	G2/M
YKR047W	YKR047W	unknown	unknown	
YKR048C	NAP1	chromatin structure	nucleosome assembly protein	
YKR049C	YKR049C	unknown	unknown	
YKR050W	TRK2	transport	potassium permease	
YKR051W	YKR051W	unknown	unknown	
YKR052C	MRS4	transport	mitochondrial carrier	
YKR053C	YSR3	sphingolipid metabolism	dihydrosphingosine-1-phosphate phosphatase	
YKR054C	DYN1	cytoskeleton	dynein heavy chain	
YKR055W	RHO4	signaling	"GTP-binding protein, rho family"	
YKR056W	RNC1	unknown	endo-exonuclease	
YKR057W	RPS21A	protein synthesis	ribosomal protein S21A	
YKR058W	GLG1	glycogen metabolism	glycogen synthesis initiator	
YKR059W	TIF1	protein synthesis	translation initiation factor eIF4A	
YKR060W	YKR060W	unknown	unknown	
YKR061W	KTR2	protein glycosylation	putative mannosyltransferase; type 2 membrane protein	
YKR062W	TFA2	transcription	TFIIE 43 kD subunit	
YKR063C	LAS1	"morphogenesis, cytoskeletal assembly, bud formation"	(putative) gene expression 	
YKR064W	YKR064W	unknown	"unknown; similar to transcription factors, has Zn[2]-Cys[6]"	
YKR065C	YKR065C	unknown	unknown	
YKR066C	CCP1	oxidative stress response	cytochrome-c peroxidase	
YKR067W	YKR067W	unknown	unknown; similar to Sct1p	
YKR068C	BET3	secretion	SNARE docking complex assembly	
YKR069W	MET1	methionine biosynthesis	siroheme synthase	S
YKR070W	YKR070W	unknown	unknown	
YKR071C	YKR071C	unknown	unknown	
YKR072C	SIS2	cell cycle and ion homeostasis	unknown	
YKR073C	YKR073C	unknown	unknown	
YKR074W	YKR074W	unknown	unknown	
YKR075C	YKR075C	unknown	unknown; similar to Reg1p	
YKR076W	ECM4	cell wall biogenesis	unknown	
YKR077W	YKR077W	unknown	unknown	G1
YKR078W	YKR078W	unknown	unknown; similar to Uso1p	
YKR079C	YKR079C	unknown	unknown	G2/M
YKR080W	MTD1	nucleotide metabolism	"NAD-dependent 5,10-methylenetetrahydrafolate dehydrogenase"	
YKR081C	YKR081C	unknown	unknown	
YKR082W	NUP133	nuclear protein targeting	nuclear pore protein	
YKR083C	YKR083C	unknown	unknown; similar to paramyosin	
YKR084C	HBS1	unknown	unknown; similar to translation elongation factor EF-1alpha	
YKR085C	MRPL20	protein synthesis	"ribosomal protein, mitochondrial L20"	
YKR086W	PRP16	mRNA splicing	RNA helicase	
YKR087C	YKR087C	unknown	unknown; similar to neutral zinc metallopeptidases	
YKR088C	YKR088C	unknown	unknown	
YKR089C	YKR089C	unknown	unknown	
YKR090W	YKR090W	unknown	unknown	G1
YKR091W	SRL3	unknown	unknown; suppressor of Rad53 lethality	G1
YKR092C	SRP40	transcription (putative)	Suppressor of mutant AC40 subunit of RNA polymerase I and III	
YKR093W	PTR2	transport	small peptide permease	
YKR094C	RPL40B	protein synthesis	ribosomal protein L40B	
YKR095W	MLP1	DNA repair (putative)	myosin-like protein	
YKR096W	YKR096W	unknown	unknown; similar to aldehyde dehydrogenase	
YKR097W	PCK1	TCA cycle	phosphoenolpyruvate carboxykinase	
YKR098C	UBP11	"protein degradation, ubiquitin-mediated"	ubiquitin-specific protease	
YKR099W	BAS1	"histidine, adenine biosynthesis"	transcription factor	
YKR100C	YKR100C	unknown	unknown	
YKR101W	SIR1	silencing	reulator of silencing at HML and HMR	
YKR102W	FLO10	unknown	unknown; similar to flocculation protein Flo1p	
YKR103W	YKR103W	unknown	ATP-binding cassette (ABC) superfamily	M/G1
YKR104W	YKR104W	unknown	ATP-binding cassette (ABC) superfamily	
YKR105C	YKR105C	unknown	major facilitator superfamily	
YKR106W	YKR106W	unknown	major facilitator superfamily	
YLL001W	DNM1	endocytosis	dynamin-related protein	
YLL002W	KIM2	diepoxybutane and mitomycin C resistance	unknown	G1
YLL003W	SFI1	unknown	unknown	
YLL004W	ORC3	DNA replication	"origin recognition complex, 62 kDa subunit"	
YLL005C	YLL005C	unknown	unknown	
YLL006W	MMM1	mitochondrial biogenesis	(putative) component of actin binding protein complex	
YLL007C	YLL007C	unknown	unknown	
YLL008W	DRS1	rRNA processing	RNA helicase	
YLL009C	COX17	respiration	cytochrome oxidase assembly	
YLL010C	YLL010C	unknown	unknown	
YLL011W	SOF1	rRNA processing	nucleolar snRNP protein	
YLL012W	YLL012W	unknown	unknown; similar to human triacylglycerol lipase	G1
YLL013C	YLL013C	unknown	unknown; similar to Drosophila pumilio protein	
YLL014W	YLL014W	unknown	unknown	
YLL015W	BPT1	transport	bile pigment transporter	
YLL016W	SDC25	signaling (putative)	GDP/GTP exchange factor for Ras	
YLL017W	YLL017W	unknown	unknown	
YLL018C	DPS1	protein synthesis	"tRNA synthetase, aspartyl"	
YLL019C	KNS1	unknown	protein kinase	
YLL020C	YLL020C	unknown	unknown	
YLL021W	SPA2	cytoskeleton	cortical actin patch component	
YLL022C	HIF1	chromatin structure	interacts with histone acetyltransferase	G1
YLL023C	YLL023C	unknown	unknown	
YLL024C	SSA2	ER and mitochondrial translocation	cytosolic HSP70	
YLL025W	YLL025W	unknown	unknown; similar to Pau3p and members of the PAU1 family	
YLL026W	HSP104	heat shock response /thermotolerance	heat shock protein	
YLL027W	ISA1	unknown	unknown; Iron Sulfur Assembly -- IscA/NifA homolog	
YLL028W	TPO1	transport	polyamine transport protein	G2/M
YLL029W	YLL029W	unknown	unknown	
YLL030C	YLL030C	unknown	unknown; similar to Ca++-transporting ATPase	
YLL031C	YLL031C	unknown	major facilitator superfamily	
YLL032C	YLL032C	unknown	unknown	S/G2
YLL033W	YLL033W	unknown	unknown	
YLL034C	YLL034C	unknown	unknown; similar to mammalian valosin-containing protein	
YLL035W	YLL035W	unknown	unknown
YLL036C	PRP19	mRNA splicing; DNA repair	non-snRNP spliceosome component
YLL037W	YLL037W	unknown	unknown; similar to human platelet-activating factor
YLL038C	ENT4	endocytosis (putative)	unknown; epsin homolog
