				y744n40	y744n98	y744n41	y744n101	y744n88	y744n102	y744n89	y744n32	y744n90	y744n51	y744n96	y744n73	y744n97	y744n52	y744n100	y744n94	y744n103	y744n72	21clb2	y80n8a	16cln3	y80n9bf
2388	1.202	0.662	YGR024C	-0.01875	1.56774	-2.05278	-1.18765	0.9117	0.17653	0.91654	1.06412	-1.27961	-1.05203	-2.43562	-1.72664	1.16175	2.30955	1.81729	1.34416	2.72503	1.43911	0.58474	0.67872	-0.64846	-0.69448
2389	1.203	0.571	YLR043C	0.71643	-0.23314	-0.65288	-0.08059	2.49592	1.30299	1.91655	0.68936	-0.99846	-2.57013	-3.19557	-3.27797	-0.17805	1.17939	1.25338	-1.52508	2.65026	0.05758	4.67549	1.50807	-2.33595	-1.77565
2390	1.203	0.915	YNL048W	1.25405	-1.37888	-1.3203	-0.87073	1.29307	2.31228	2.86472	2.13466	0.9796	-1.47108	-2.0696	-2.58996	-0.6872	0.1519	1.90909	0.24351	1.66756	-0.1293	0.87084	-0.86018	0.69181	-0.4896
2391	1.204	0.736	YJR075W	0.39298	-0.55308	-0.46272	-0.17156	1.98091	2.87615	3.3974	2.40305	0.65298	-2.07665	-3.1654	-3.49335	-1.7029	-0.77373	0.84713	-0.97893	1.5676	-0.38997	-0.58106	0.48512	0.63101	-0.16628
2392	1.204	0.713	YEL045C	0.74607	-0.24595	-1.33217	-0.99216	1.2633	0.56917	1.38312	1.20294	-0.85587	-0.68426	-2.43716	-1.72967	0.32684	1.8143	1.43083	0.47157	2.70353	1.702	-0.14724	0.89866	-2.94997	1.79829
2393	1.204	0.912	YPL169C	2.57364	-2.53797	-1.81448	-1.44409	0.39421	1.66278	2.50174	1.74746	1.4935	-0.85665	-0.94319	-1.55009	0.13311	0.57419	2.6008	0.9219	1.62959	-0.1245	1.02303	-1.00092	1.40471	-1.04872
2394	1.204	0.12	YPR042C	-2.97038	4.85972	-1.3814	-0.37445	0.7601	0.4783	-0.18838	1.29791	-1.50642	-0.77399	-1.73918	-1.3942	0.5967	1.68968	1.0812	1.88129	1.40957	1.24577	-0.60218	-1.06739	-0.41978	0.40556
2395	1.204	0.409	YNL112W	2.18946	-1.04553	-3.10109	-2.51944	-1.24952	-1.33189	-0.50669	0.02608	-0.28355	1.03715	0.66236	1.21914	2.27639	2.6521	2.21753	2.57496	1.84586	1.72013	-0.44865	-1.00894	-0.10071	0.36744
2396	1.204	0.36	YPL103C	3.65697	-5.38477	0.40107	-0.79788	0.1195	0.54453	1.41932	0.96115	1.4458	1.8526	0.59523	0.67595	-0.88856	0.62644	1.02529	-0.4882	1.38769	2.25334	-2.52489	-0.18394	-4.0941	5.74422
2397	1.204	0.698	YPR065W	0.89223	0.52478	-2.48445	-1.82157	0.28657	-0.2098	0.85559	1.21642	-0.92846	-0.1847	-1.83855	-1.00758	1.50451	2.76705	2.25113	2.07884	3.00712	2.18109	-0.86507	0.37648	-0.95187	0.66223
2398	1.204	0.525	YMR123W	1.00254	1.19131	-3.10169	-2.06999	-0.26877	-1.05142	0.12124	0.32513	-1.2117	-0.1967	-1.43715	-0.29277	2.4182	3.00643	2.2576	2.38388	2.68349	1.66756	0.21876	0.59333	0.65004	-1.64741
2399	1.204	0.686	YMR093W	4.06979	-3.33347	-2.75061	-2.35839	-0.87594	-0.49024	1.30357	0.33692	0.99502	0.24092	-0.05357	0.24062	1.92867	1.82867	2.77507	1.7354	2.00404	0.59283	0.93262	-0.03078	1.76566	-1.93687
2400	1.205	0.91	YPR040W	1.54745	-1.52902	-1.30989	-1.1724	0.82087	1.39199	2.44347	1.83105	0.5233	-0.64739	-2.09216	-1.88567	-0.46759	0.46044	1.32181	0.27825	1.99423	0.83692	-1.89683	0.43104	-0.17223	1.24398
2401	1.206	0.452	YGL123W	2.12128	-0.63742	-3.05772	-2.12301	-0.41145	-1.3231	-0.39319	-0.38193	-0.9185	0.10867	-0.31102	0.52976	2.7088	3.17612	2.54449	2.16769	2.34392	1.37824	2.95454	-0.19456	-0.781	-1.73906
2402	1.206	0.49	YJL036W	-0.82258	0.97598	-0.21163	0.37727	2.31649	2.44054	1.87915	1.55997	-0.33862	-2.77175	-2.48672	-3.51548	-1.17301	-0.00871	1.02468	-1.18612	1.42836	-0.78832	3.47523	0.13106	-0.76482	-1.58832
2403	1.206	0.944	YOL125W	1.87767	-1.85016	-1.69433	-1.45926	0.55019	1.39886	2.11455	1.99061	0.8331	-0.39043	-1.20635	-1.49569	0.0819	1.20886	2.41977	1.22825	2.14652	1.05427	-0.32452	-0.8535	-0.54414	1.16877
2404	1.207	0.273	YLR395C	-0.72783	1.52353	-0.04614	0.74555	2.73524	1.06125	1.30108	-0.04046	-1.65902	-3.11879	-3.52601	-3.34558	-0.3006	0.48759	0.12575	-2.19939	1.78125	-0.83138	5.685	2.17098	-1.64407	-3.50245
2405	1.207	0.799	YMR192W	0.49903	-0.45936	-1.29007	-1.03342	0.79545	1.36987	1.66715	1.92422	0.30014	-0.4018	-1.44471	-1.60863	-0.25032	1.00412	1.69978	1.04229	1.83394	1.17695	-0.88673	-1.04579	-1.42737	2.16859
2406	1.207	0.953	YBL083C	1.90906	-1.63282	-1.8916	-1.58483	0.60906	1.1818	2.44402	1.77081	0.539	-0.60228	-2.09828	-1.77245	-0.06835	0.7736	1.65282	0.66931	2.19986	0.88939	-1.70577	0.35356	0.39378	0.65233
2407	1.207	0.577	YMR128W	2.81531	-2.13669	-2.55247	-2.3041	-0.87061	-1.0335	0.32039	0.27112	-0.03176	0.90801	-0.06316	0.68308	1.79306	2.29866	2.00428	1.92324	2.14378	1.79322	-1.12786	0.17824	-0.5971	0.90626
2408	1.207	0.827	YER156C	3.20243	-2.48243	-2.17351	-2.06724	-0.25328	0.72729	2.76241	1.85953	1.05749	-0.07211	-1.64857	-1.11136	0.38991	0.767	1.93096	1.05143	2.43292	1.09587	-3.6155	0.94401	2.00152	0.21506
2409	1.207	0.835	YEL043W	2.88862	-1.50969	-2.71244	-2.18787	-0.07047	-0.35557	1.67726	0.87761	-0.11689	-0.31834	-1.81176	-0.9261	1.65073	2.22764	2.35076	1.4373	3.04969	1.4516	-0.5521	1.27946	0.7666	-1.12012
2410	1.208	0.834	YJL183W	1.26275	-1.37088	-1.55549	-1.09367	0.56654	2.10923	2.4625	2.08442	1.47565	-0.98405	-1.03025	-1.9092	-0.4765	0.01178	2.06604	0.89775	1.08466	-0.32398	0.70847	-1.94723	2.0139	-0.8976
2411	1.208	0.368	YGR285C	3.25824	-1.91063	-2.09102	-1.70574	-0.66165	-2.15589	-0.06788	-1.37707	-0.86906	0.17604	-0.75584	0.7792	2.44504	2.12036	1.05525	0.48117	2.01492	0.85885	1.27911	2.76237	0.47442	-2.78691
2412	1.208	0.942	YER032W	1.25754	-0.92891	-1.86769	-1.21961	1.43724	2.00074	3.04565	2.08682	0.50696	-1.52982	-3.01721	-2.85128	-0.44699	0.50464	1.7871	0.31202	2.22713	0.28411	0.2639	-0.07074	0.67891	-0.62859
2413	1.208	0.876	YLR083C	2.45726	-2.44117	-2.06731	-1.57334	0.65658	2.22967	3.41129	2.26076	1.68305	-1.27898	-1.8831	-2.39354	-0.48894	-0.10122	2.18496	0.56139	1.67117	-0.39247	-0.00975	-0.79357	3.11438	-1.7774
2414	1.208	0.821	YDR092W	3.0229	-2.66998	-1.99219	-1.9531	-0.21611	0.09086	1.70073	1.18022	0.58664	0.37414	-0.96331	-0.47255	0.81315	1.55717	2.02394	1.22307	2.39205	1.57179	-1.77072	0.47959	-0.24051	1.13568
2415	1.208	0.77	YDL122W	1.58116	-1.02793	-2.481	-2.02517	0.10986	0.53218	1.2366	1.74275	0.20872	0.1779	-0.89453	-0.83867	1.01897	2.36603	2.82987	2.3454	2.59643	1.94903	-0.44441	-1.34562	-1.40131	1.86662
2416	1.208	0.526	YPL200W	0.96773	-0.22979	-1.22869	-1.18692	0.52975	-0.45696	0.87979	0.8342	-1.17141	0.17592	-2.09754	-0.87057	0.58507	1.93394	0.72017	0.54464	2.74732	2.46868	-2.66293	1.85301	-2.35182	2.40542
2417	1.209	0.497	YPL259C	0.19409	0.97762	-2.26826	-1.79728	-0.63018	-0.10728	0.53957	1.91421	-0.30586	0.69514	-0.7129	-0.23831	1.41383	2.46714	2.35027	3.46491	2.2187	2.44521	-3.2197	-0.72443	0.57841	1.4613
2418	1.209	0.902	YOR390W	1.23848	-0.51188	-1.58483	-1.14469	1.15123	1.61448	2.83194	2.05585	0.17696	-1.41855	-2.93655	-2.65997	-0.38917	0.51453	1.43389	0.11926	2.44232	0.59868	-1.4188	1.08188	0.89583	-0.42929
2419	1.21	0.607	YDR157W	1.26077	0.4219	-2.38813	-1.89086	0.03145	-0.79011	0.91481	0.79144	-1.17259	0.00776	-2.28295	-0.7738	1.42181	2.32897	1.32272	1.41827	3.00039	2.23449	-2.82846	2.02354	-0.28562	0.52138
2420	1.21	0.763	YGR215W	1.1378	0.19848	-1.70478	-1.10094	1.26101	0.19265	1.67982	0.88976	-1.13697	-1.51578	-3.02014	-2.36431	0.78223	1.89843	1.43149	-0.00011	3.19544	1.20137	1.13864	1.92355	-0.72971	-1.34843
2421	1.211	0.962	YJL125C	2.36064	-2.68061	-1.78657	-1.56486	0.63475	1.34411	2.38277	1.71229	0.93141	-0.50815	-1.47827	-1.62228	-0.09459	0.80823	1.99775	0.69329	2.02528	0.7222	0.12972	-0.62231	-0.5482	0.85745
2422	1.211	0.798	YKR050W	3.19231	-2.37119	-2.72346	-2.29602	0.01696	-0.28464	1.32954	0.9066	0.06418	0.06386	-1.13539	-0.62115	1.75053	2.81106	2.98763	1.8239	3.16117	1.86587	1.05134	0.22518	-1.24852	0.12633
2423	1.212	0.481	YGR122W	2.6099	-2.52846	-1.36401	-1.57957	-0.55633	-0.95356	0.26483	0.2453	0.09662	1.24637	0.13877	0.74024	1.25584	2.10111	1.63264	1.33753	1.96184	2.12695	-0.93164	0.22595	-2.15677	2.27364
2424	1.212	0.573	YJL135W	0.66179	-0.05375	-2.52229	-2.05311	0.27376	0.48878	0.62831	2.44479	-0.32242	0.65222	-0.70748	-0.83632	1.45293	3.93104	3.89768	3.82331	3.39599	3.46844	-0.16476	-2.02479	-3.2564	3.47182
2425	1.212	0.668	YOL036W	0.04042	-0.35087	-0.22732	0.11101	2.28156	3.40475	3.51387	2.62008	0.85142	-2.46776	-3.11305	-3.92091	-2.09042	-1.08698	0.92325	-1.22699	1.35744	-0.81207	0.68234	0.02607	0.48078	-0.58099
2426	1.212	0.502	YMR217W	2.39195	-0.43233	-3.41892	-2.48873	-0.95422	-1.46911	0.01619	-0.03097	-0.45826	0.22728	-0.38126	0.42537	3.00906	3.1861	2.9065	2.83016	2.51178	1.39317	1.56798	0.06325	1.30666	-2.57192
2427	1.212	0.708	YJR135C	1.14565	-1.43238	-1.80698	-1.60803	-0.03861	2.17353	1.94833	3.10078	1.78797	0.28617	0.05603	-1.07176	-0.17242	1.15669	3.32665	2.85662	1.52327	1.25032	-1.42143	-3.06346	0.07109	2.48527
2428	1.212	0.544	YLR013W	0.80783	-2.54396	0.59591	0.02116	2.17633	3.2346	2.82192	2.98501	0.99321	-0.61194	-1.68789	-2.68105	-2.57293	-0.10815	1.22734	-0.94934	1.81089	1.39974	-0.98336	-0.86576	-4.35459	5.15115
2429	1.213	0.731	YPL264C	1.04496	0.30582	-1.84535	-1.43924	0.71232	0.30407	2.02342	1.4922	-0.81357	-0.77071	-3.13014	-1.96926	0.33728	1.32142	0.92512	0.45345	2.95702	1.67263	-3.06909	2.26682	0.30326	0.23447
2430	1.213	0.621	YOR251C	0.8153	-0.66894	-0.70331	-0.09793	2.1205	2.05573	2.32642	1.19123	0.14041	-2.47939	-2.53122	-3.1438	-0.56426	0.30233	1.56705	-1.02498	1.76219	-0.78666	4.76528	0.30054	-0.75181	-2.41501
2431	1.214	0.759	YMR298W	0.88976	-0.28968	-1.03469	-0.63558	1.51396	1.93497	3.14466	1.91014	0.21598	-1.89815	-3.43985	-3.13455	-1.02398	-0.38986	0.64877	-0.85825	1.98481	-0.10366	-1.27684	1.77629	1.49151	-1.24605
2432	1.214	0.426	YKL129C	3.86854	-4.76731	-0.22504	-0.54308	1.77699	0.68782	0.74968	-0.13933	1.09307	-0.31609	0.34557	-1.0942	0.40421	2.96585	3.86239	-0.97907	2.68284	1.17606	8.73641	-0.94682	-6.19153	1.07456
2433	1.214	0.641	YNL256W	2.34611	-1.49909	-3.02536	-2.62289	-0.83575	-0.21316	0.79885	1.66985	0.52948	1.03663	0.01585	0.14746	1.90298	3.10116	3.56529	3.59058	2.7449	2.51131	-1.05838	-1.55436	-0.59041	1.70248
2434	1.214	0.938	YLL052C	1.12467	-0.79757	-1.73546	-1.33705	0.55156	1.66414	2.1236	2.28393	0.83488	-0.64693	-1.33946	-1.79716	-0.06934	0.97295	2.37674	1.44767	1.94773	0.80614	-0.44501	-1.03561	0.35365	0.50267
2435	1.214	0.55	YMR112C	1.19871	0.48458	-1.58183	-1.04652	0.8497	-0.99494	0.99274	-0.12291	-1.73809	-1.17669	-2.96159	-1.66299	1.26767	1.92164	0.51948	-0.41321	3.03679	1.29604	0.67912	3.00247	-0.50974	-1.89
2436	1.214	0.393	YHR197W	0.99708	-0.34802	-2.23227	-1.82228	-1.11543	-0.32383	-0.1993	0.99773	0.53855	1.05831	1.05279	0.78058	1.61789	2.17098	2.63395	3.2435	1.2004	1.48975	-0.34933	-2.40222	0.2709	0.94685
2437	1.214	0.865	YPR086W	1.63448	-1.35264	-1.54843	-0.93928	1.47601	2.19424	3.01398	1.91685	0.82269	-1.94964	-2.50562	-2.95563	-0.45914	0.28798	2.05351	-0.07628	2.02088	-0.39761	2.30114	-0.04356	0.91647	-2.03183
2438	1.214	0.631	YHR139C	0.96302	-1.0588	-0.89935	-1.01896	1.05072	1.04688	2.02906	1.82992	-0.11579	-0.22343	-2.40961	-1.82288	-0.65617	0.83407	0.84904	0.1343	2.38458	1.81492	-3.07312	1.06245	-2.81431	3.69018
2439	1.215	0.473	YOR357C	-1.13238	0.50635	0.45265	0.62359	2.30506	2.87694	2.2203	2.16658	0.19212	-1.88263	-2.36116	-3.21725	-1.9942	-0.58396	0.56097	-1.02969	1.01154	-0.17626	1.24389	-0.57418	-1.91462	1.20758
2440	1.215	0.185	YML045W	-0.99108	0.76996	-0.92606	-1.01728	-0.11281	0.93085	0.28021	2.02455	0.48245	0.98064	0.38925	-0.36917	-0.37827	1.03291	1.37424	2.0499	0.97658	1.93738	-3.02106	-3.64021	-3.4375	6.18833
2441	1.215	0.49	YDR124W	3.97097	-4.03797	-2.39093	-2.26604	-1.03777	-1.3135	0.14885	-0.5258	0.12678	0.81179	0.44229	1.14399	1.72606	1.71136	1.45937	1.04066	1.58165	1.00466	0.31566	1.14115	-0.14639	-0.63307
2442	1.216	0.58	YLR354C	2.64961	-2.80041	-0.12493	-0.28199	1.06862	1.06104	2.78148	0.43558	0.67847	-1.44296	-2.40314	-1.99566	-1.04785	-1.22631	-0.31571	-2.41144	1.15976	-0.89076	-0.17998	2.85558	1.18891	-1.86703
2443	1.216	0.81	YPL207W	2.43432	-1.97191	-2.45832	-1.93511	-0.30804	0.50118	1.45703	1.11042	0.94405	-0.16078	-0.38896	-0.60866	0.92784	1.2461	2.39091	1.62159	1.63102	0.46049	0.98608	-1.16631	1.57337	-1.30925
2444	1.217	0.949	YKR092C	2.82481	-2.84931	-2.06672	-1.66502	0.63441	1.49043	2.82101	1.67943	1.18939	-0.95429	-1.76983	-1.95254	-0.04941	0.5217	2.10976	0.47885	2.01523	0.12986	1.00138	-0.17859	1.20717	-1.26638
2445	1.217	0.753	YPL212C	2.24297	-1.68635	-2.57321	-2.22087	-0.19045	-0.01693	1.05182	1.24476	0.18456	0.43199	-0.73819	-0.41735	1.20801	2.2996	2.50105	2.05414	2.56432	1.93715	-0.50634	-0.66086	-1.43673	1.60753
2446	1.217	0.768	YDR108W	0.89353	0.54638	-2.17672	-1.5471	0.88087	0.07381	1.40927	1.35402	-1.1223	-0.8206	-2.73712	-1.93108	1.04298	2.49152	1.90581	1.18957	3.40838	2.05187	-0.15761	1.32343	-1.17651	-0.00326
2447	1.218	0.594	YGR200C	2.69531	-2.33633	-2.13627	-1.8624	-0.72275	-0.56963	0.35722	0.2653	0.53725	0.60241	0.47698	0.51641	1.59581	1.93088	2.30525	1.80749	1.58728	1.02895	1.40975	-0.84521	-0.27748	-0.28377
2448	1.219	0.826	YLR437C	0.96546	-0.66699	-1.89009	-1.34365	0.48228	2.41139	2.77776	2.73242	1.59149	-1.03275	-1.36281	-2.27253	-0.60544	0.02204	2.31908	1.36809	1.36842	-0.09562	-0.53725	-1.81943	2.55697	-0.73409
2449	1.219	0.413	YBL008W	1.79129	-0.72833	-2.11922	-1.84042	-0.39932	-1.60908	-0.36915	-0.0996	-1.10097	0.85382	-0.6019	0.54676	2.0979	3.08258	1.74317	1.81802	2.6278	2.51319	-0.15443	0.88547	-2.62056	1.37673
2450	1.219	0.4	YER102W	1.88584	-0.59535	-3.2102	-2.23679	-0.73662	-0.97473	-0.54065	0.06222	-0.21957	0.34355	0.6685	0.65567	2.78859	3.32784	3.35754	3.09627	2.03429	1.27992	4.16955	-2.15135	-0.49127	-1.68113
2451	1.22	0.837	YLR320W	1.15109	-0.66097	-1.83993	-1.55095	1.1296	1.36079	2.21463	2.59241	-0.10323	-0.52865	-2.38108	-2.31628	-0.00095	2.09278	2.46944	1.37795	3.37884	2.3586	-1.02628	0.02741	-2.16382	2.28151
2452	1.22	0.651	YGL209W	2.67519	-1.6318	-1.06834	-0.77338	1.74974	0.26935	2.62287	0.16386	-0.77091	-2.16048	-3.76039	-2.91417	0.01556	0.61972	0.36157	-2.41194	3.13366	0.17432	2.07607	3.73605	-0.645	-2.61404
2453	1.22	0.829	YLR109W	1.73132	-1.0266	-1.68444	-1.18832	1.2508	0.47571	1.82598	0.83783	-0.59445	-1.12451	-2.81508	-1.9522	0.48196	1.48652	1.42251	-0.01411	2.72641	0.98143	1.33925	1.83511	-1.66379	-0.57866
2454	1.22	0.564	YNR066C	-0.37974	1.43835	-2.28003	-1.67311	-0.11267	0.96766	1.0683	2.23334	0.30211	0.10903	-0.87484	-1.08189	0.34119	1.4175	2.07888	2.54282	1.71489	1.53462	-2.5012	-2.17188	0.58638	1.7856
2455	1.22	0.851	YOR189W	0.18769	0.03604	-1.35745	-0.82774	1.66195	2.60978	2.82607	2.79614	0.54873	-1.60514	-2.63246	-3.23059	-0.96229	0.52411	2.02358	0.56122	2.2013	0.54631	0.48065	-0.84142	-0.51713	0.51873
2456	1.22	0.253	YMR124W	0.6116	0.15624	-1.84916	-1.71208	-1.21455	-0.79704	-0.3368	0.87239	0.0002	1.45316	0.57201	0.95805	1.28401	1.88812	1.53584	2.73034	1.2752	2.09099	-3.29418	-1.07263	-0.092	2.35917
2457	1.221	0.806	YBL011W	1.03567	-1.04995	-1.0767	-1.05599	0.47161	1.80083	2.36342	2.46184	1.00635	-0.32298	-1.41101	-1.71064	-0.86263	0.11462	1.43598	0.77939	1.59427	0.90536	-2.73782	-0.37337	0.42018	1.65665
2458	1.221	0.299	YOR181W	-2.36712	2.34853	0.19531	0.38938	1.94367	2.08855	1.38501	2.31069	-0.78455	-1.13935	-2.52899	-2.73701	-1.58214	0.2606	0.24476	-0.05826	1.44412	1.21762	-1.53868	-0.2988	-2.70715	3.104
2459	1.222	0.399	YOL121C	2.87704	-2.169	-2.38616	-2.19537	-1.19939	-1.67243	-0.46077	-0.21775	-0.0187	1.37665	0.80815	1.37939	2.42984	2.93124	2.41908	2.44836	2.02869	2.02149	0.71709	-0.39222	-1.35511	0.65802
2460	1.222	0.894	YGL097W	1.39428	-1.40991	-1.86449	-1.54555	0.22628	1.58053	2.17331	2.11308	1.28404	-0.33385	-0.94666	-1.54632	-0.31321	0.44049	1.96961	1.2664	1.47031	0.54096	-0.62233	-1.7967	0.95499	0.63003
2461	1.222	0.761	YMR198W	4.46256	-4.06169	-3.58821	-3.03411	-0.30119	-0.62518	1.50458	0.32204	-0.00701	0.08128	-1.54732	-0.2602	1.59549	2.06456	2.0521	1.12307	2.84898	1.33635	-0.01989	2.08262	-0.06194	-1.06296
2462	1.223	0.275	YPL220W	1.64349	-0.28734	-1.13376	-0.59953	0.71167	-1.50811	0.06096	-1.41623	-1.70632	-1.03643	-2.07183	-0.59786	1.65947	1.71421	0.30105	-0.84706	2.0363	0.38552	3.41846	3.44048	-1.04115	-3.32881
2463	1.223	0.926	YER130C	3.94434	-4.18725	-2.84032	-2.61768	0.03261	1.31343	3.01509	2.14391	1.71165	-0.14736	-1.26037	-1.53547	0.17613	1.02967	2.76921	1.33059	2.55357	0.97471	-0.34605	-0.78224	0.63147	0.40494
2464	1.223	0.715	YMR103C	-0.40008	0.63739	-1.4381	-0.9046	0.72169	1.98689	1.55707	2.46858	0.6981	-0.69463	-0.96898	-1.88716	-0.34181	0.89235	2.28964	1.79387	1.4062	0.70165	0.42017	-2.3728	-0.19382	0.95123
2465	1.223	0.584	YML008C	0.43097	-1.55159	0.20214	0.14248	1.29266	2.83563	3.0589	2.15155	1.7713	-1.35752	-1.64268	-2.72861	-2.10096	-1.7072	0.46432	-0.89396	0.185	-1.04042	0.32196	-1.15773	1.58133	-0.28765
2466	1.225	0.256	YDR534C	1.82699	-0.47795	-2.87014	-2.31008	-1.33539	-1.64631	-1.02842	-0.42911	-0.63035	1.05836	0.79541	1.51836	2.13752	2.31951	1.51513	2.0558	1.48006	1.5296	-0.85796	-0.23604	-0.17518	0.16627
2467	1.225	0.105	YLL018C	1.24198	0.18883	-1.41976	-1.14868	-0.41347	-2.46445	-1.0803	-1.32924	-1.88631	0.58988	-0.83224	0.92822	2.21709	2.51786	0.36114	0.68664	1.97769	1.85296	-0.01219	2.6332	-1.86326	-0.28615
2468	1.225	0.668	YBR293W	0.52909	0.7977	-1.33129	-0.83696	1.58599	0.46054	1.99976	1.14429	-1.37453	-1.59694	-3.8562	-2.79859	0.01032	1.22584	0.50569	-0.64395	3.12167	1.31246	-0.52498	2.90811	-0.96532	-0.65764
2469	1.226	0.82	YML047C	4.61748	-5.18842	-3.05581	-2.84209	-0.00424	0.09714	2.15018	0.89718	0.65249	0.0836	-1.48858	-0.78013	0.83015	1.54973	2.05972	0.82616	2.74466	1.28078	0.27645	1.18804	-1.41463	0.52228
2470	1.226	0.844	YGR017W	1.1021	-0.49256	-1.73553	-1.28709	0.9422	0.75149	1.45987	1.50425	-0.22749	-0.68454	-1.84493	-1.78684	0.48135	1.92814	2.16694	1.04956	2.6847	1.48497	1.36324	0.00269	-1.93201	0.55283
2471	1.226	0.923	YPR057W	1.57561	-0.63222	-1.89831	-1.55256	0.70324	1.18502	2.6379	2.24287	0.24326	-0.88501	-2.61905	-2.34392	-0.1034	0.98206	1.71396	0.70478	2.85214	1.29675	-1.86613	1.06234	0.56005	0.05439
2472	1.226	0.916	YGL101W	0.90807	0.26899	-2.9129	-2.01182	1.11288	1.72892	2.74075	2.62776	0.24243	-1.16713	-3.03896	-2.8608	0.09175	1.54685	2.57295	1.56957	3.06887	1.3071	-0.18817	-0.66527	-0.02972	0.14996
2473	1.227	0.609	YPL143W	1.52825	-1.29475	-2.08521	-1.74452	-0.35288	0.18638	0.45035	1.15788	0.56801	0.54825	0.36553	-0.05249	1.10947	2.06475	2.64958	2.34828	1.70538	1.4448	1.22874	-2.15405	-1.37903	1.27185
2474	1.227	0.789	YPR109W	0.81711	0.62396	-1.78187	-1.16071	1.58599	0.93607	2.51744	1.77981	-0.97021	-1.87333	-3.89828	-3.29984	0.00506	1.36121	1.22046	-0.22018	3.49553	1.27458	-0.11014	2.28418	-0.30555	-1.12994
2475	1.227	0.527	YOR298W	-0.58594	0.94067	-0.24068	-0.07378	1.95601	1.41526	1.97993	1.66586	-0.92374	-1.38413	-3.41481	-2.87786	-1.14381	0.36867	0.06987	-0.91931	2.21475	1.14298	-1.23692	1.82119	-2.3364	1.62257
2476	1.227	0.652	YNL064C	1.1616	-1.47127	-0.94958	-0.68467	0.39805	1.93453	2.40611	1.6755	1.67673	-0.95493	-0.89713	-1.7972	-0.93816	-0.91121	1.09698	0.10234	0.36386	-0.89429	0.64043	-1.31544	3.23283	-1.95754
2477	1.228	0.571	YPR044C	2.71503	-1.12058	-2.80275	-2.19891	-0.40607	-1.57312	0.23232	-0.17269	-0.73379	0.18488	-0.98308	0.00824	2.58059	3.19142	2.43088	1.8464	3.00199	1.83489	1.96564	1.1449	-0.80342	-1.5094
2478	1.228	0.6	YKL167C	0.00923	0.87787	-0.77158	-0.19206	2.13105	1.23009	2.08639	1.11218	-1.03579	-2.19955	-3.73623	-3.22909	-0.49824	0.61492	0.52623	-1.15205	2.43304	0.32773	1.82574	2.21945	-1.21927	-1.46193
2479	1.228	0.187	YER089C	1.70402	-0.26413	-1.76868	-1.35644	-0.62549	-2.06851	-0.82999	-1.1951	-1.36249	0.42297	-0.55249	1.01231	2.12695	2.08324	0.62099	0.78595	1.60533	1.1991	0.0896	2.54799	-0.42595	-1.4375
2480	1.228	0.355	YMR242C	2.18846	-0.76589	-2.13754	-0.89522	1.37553	0.11269	0.71534	-0.71643	0.02016	-2.8477	-1.24399	-2.41831	2.16988	2.47442	3.66548	0.06927	2.37881	-1.50657	11.8832	-0.04992	-0.76511	-6.74298
2481	1.229	0.632	YJL010C	4.36332	-3.44215	-3.29445	-2.80732	-0.89488	-1.07641	0.78216	0.14919	0.58148	0.53317	0.02344	0.39639	2.48517	2.86821	3.25404	2.2103	2.72207	1.39421	2.70617	-0.0653	-0.11655	-1.66096
2482	1.229	0.863	YOL112W	0.8819	-0.42782	-1.75578	-1.11522	2.1288	3.24442	4.22858	3.34645	0.89747	-2.32629	-4.06783	-4.46768	-1.50406	-0.05367	1.95072	-0.11577	2.77889	0.1998	0.241	0.25994	0.6416	-0.72011
2483	1.23	0.846	YJL197W	3.64193	-3.49297	-0.97381	-1.28935	0.7004	0.60408	2.47312	1.14918	0.86757	-0.20146	-1.5879	-1.45411	-0.26025	0.89314	1.54224	-0.87217	2.78746	1.35231	0.03964	1.35332	-1.57028	0.91633
2484	1.23	0.494	YKL128C	4.84951	-3.90137	-4.15131	-3.68163	-1.92042	-1.92925	0.02314	-0.26859	0.26561	1.3947	0.78923	1.62837	2.76543	2.83448	2.57395	2.54269	2.43217	1.81135	-0.33184	0.42372	1.03306	-1.07883
2485	1.23	0.633	YLR322W	0.79924	-0.01748	-1.37995	-1.1429	1.43291	0.21985	1.43806	1.32379	-1.31897	-0.60728	-3.06337	-2.1058	0.25571	2.21883	1.19984	0.23098	3.4908	2.51737	-0.42123	1.91706	-3.83426	2.13937
2486	1.231	0.659	YLR136C	1.72096	-0.45192	-3.83373	-3.03646	-0.68234	0.0233	0.81926	1.60774	0.32077	0.60026	-0.38367	-0.32761	1.44603	2.50893	2.90218	3.00786	2.55968	2.03234	-0.80366	-2.48789	-0.39366	1.48669
2487	1.231	0.923	YIL110W	2.78516	-2.14846	-2.20882	-1.82134	0.19481	0.57299	2.20514	1.17722	0.69918	-0.60453	-1.7385	-1.43293	0.44309	0.84834	1.75884	0.58001	2.18224	0.51424	0.22819	0.9537	1.27382	-1.58568
2488	1.232	0.69	YBR162W-A	1.50466	-1.63357	-2.6016	-2.11406	-0.37156	3.17844	3.10042	3.92333	3.18427	-0.25658	0.11892	-1.90006	-0.74634	-0.01316	3.67884	3.02746	1.05366	0.02202	-0.8949	-4.50413	3.48093	0.22789
