Alpha&Cls				
UID	NANE	PROCESS	FUNCTION	CLASSIFICATION (Spellman et al. [3])
YJL073W	JEM1	mating; nuclear fusion	DnaJ-like protein	G1
YJL074C	SMC3	chromatin structure	cohesin	G1
YJL079C	PRY1	unknown	unknown; similar to plant PR-pathogen related proteins	G2/M
YJL080C	SCP160	"mitosis, chromosome transmission"	unknown	
YJL081C	ARP4	cytoskeleton	actin-related protein	
YJL083W	YJL083W	unknown	unknown; similar to Irs4p	
YJL084C	YJL084C	unknown	unknown	
YJL085W	EXO70	secretion	exocyst complex subunit	
YJL087C	TRL1	tRNA splicing	tRNA ligase	
YJL088W	ARG3	arginine biosynthesis	ornithine carbamoyltransferase	
YJL090C	DPB11	DNA replication	DNA polymerase II complex	
YJL091C	YJL091C	unknown	unknown; similar to Can1p	G1
YJL092W	HPR5	meiosis	DNA helicase	S
YJL093C	TOK1	transport	outward-rectifier potassium channel	
YJL095W	BCK1	"signaling, PKC1 pathway"	serine-threonine protein kinase	
YJL097W	YJL097W	unknown	unknown	
YJL098W	SAP185	cell cycle	Sit4p-associated protein	
YJL099W	CHS6	cell wall biogenesis	chitin biosynthesis	S/G2
YJL100W	YJL100W	unknown	unknown	
YJL101C	GSH1	glutathione biosynthesis	gamma-glutamylcysteine synthetase	
YJL102W	MEF2	protein synthesis	"translation elongation factor, mitochondrial"	
YJL103C	YJL103C	unknown	"unknown; similar to transcription factors, has Zn[2]-Cys[6]"	
YJL104W	YJL104W	unknown	unknown	
YJL105W	YJL105W	unknown	unknown; similar to Ykr029p	
YJL107C	YJL107C	unknown	unknown	
YJL109C	YJL109C	unknown	unknown	
YJL110C	GZF3	nitrogen catabolism	transcription factor	
YJL112W	YJL112W	unknown	unknown	
YJL113W	YJL113W	unknown	unknown	
YJL114W	YJL114W	unknown	unknown	
YJL115W	ASF1	transcription	anti-silencing protein	G1
YJL116C	NCA3	ATP synthesis	regulates expression of F0F1 ATPase subunits	
YJL117W	PHO86	transport	inorganic phosphate permease	
YJL118W	YJL118W	unknown	unknown	S
YJL119C	YJL119C	unknown	unknown	S
YJL121C	RPE1	pentose phosphate cycle	Ribulose-5-phosphate 3-epimerase	
YJL123C	YJL123C	unknown	unknown	
YJL125C	GCD14	protein synthesis	translation repressor of GCN4	
YJL126W	NIT2	unknown	nitrilase	
YJL127C	SPT10	transcription	transcriptional regulator	
YJL128C	PBS2	signaling	two-component pathway	
YJL130C	URA2	pyrimidine biosynthesis	"carbamoyl-phophate synthetase, aspartate transcarbamylase, and glutamine amidotransferase"	
YJL131C	YJL131C	unknown	unknown; similar to carbamylphosphate synthetase	
YJL132W	YJL132W	unknown	unknown; similar to phospholipase D	
YJL133W	MRS3	transport	mitochondrial carrier	
YJL134W	LCB3	sphingolipid metabolism	sphingoid base-phosphate phosphatase	S/G2
YJL135W	YJL135W	unknown	unknown	
YJL136C	RPS21B	protein synthesis	ribosomal protein S21B	
YJL137C	GLG2	glycogen metabolism	glycogen synthesis initiator	S/G2
YJL138C	TIF2	protein synthesis	translation initiation factor eIF4A	
YJL139C	YUR1	protein glycosylation	mannosyltransferase	
YJL140W	RPB4	transcription	RNA polymerase II 32 kDa subunit	
YJL141C	YAK1	signaling	serine-threonine protein kinase	
YJL142C	YJL142C	unknown	unknown	
YJL143W	TIM17	mitochondrial protein targeting	inner membrane translocase component	
YJL145W	YJL145W	unknown	unknown	
YJL147C	YJL147C	unknown	unknown	
YJL148W	RPA34	transcription	RNA polymerase I subunit	
YJL149W	YJL149W	unknown	unknown	
YJL150W	YJL150W	unknown	unknown	
YJL151C	YJL151C	unknown	unknown	
YJL152W	YJL152W	unknown	unknown	
YJL154C	VPS35	vacuolar protein targeting	peripheral membrane protein	
YJL156C	SSY5	"transport, amino acid (putative)"	unknown	
YJL157C	FAR1	cell cycle	Cdc28p kinase inhibitor	G2/M
YJL158C	CIS3	unknown	unknown; overexpression suppresses cik1 deletion	S/G2
YJL159W	HSP150	heat shock response	secreted glycoprotein of HSP family	M/G1
YJL160C	YJL160C	unknown	unknown; similar to members of the Pir1p/Hsp150p/Pir3p	
YJL161W	YJL161W	unknown	unknown	
YJL162C	YJL162C	unknown	unknown; similar to E. coli DnaJ and other DnaJ-like	
YJL163C	YJL163C	unknown	unknown; similar to bovine prefoldin subunit 1	
YJL164C	SRA3	signaling	cAMP-dependent protein kinase subunit	
YJL165C	HAL5	salt tolerance	putative protein kinase	
YJL166W	QCR8	oxidative phosphorylation	ubiquinol--cytochrome-c reductase subunit VIII	
YJL167W	ERG20	sterol metabolism	farnesyl-pyrophosphate synthetase	
YJL168C	SET2	galactose regulation	transcriptional repressor of Gal4	
YJL169W	YJL169W	unknown	unknown	
YJL170C	ASG7	unknown	unknown	
YJL171C	YJL171C	unknown	unknown	
YJL172W	CPS1	protein degradation	vacuolar carboxypeptidase yscS	
YJL173C	RFA3	DNA replication	"replication factor A, 13 kD subunit"	G1
YJL174W	KRE9	cell wall biogenesis	"beta-1,6-glucan assembly"	
YJL175W	YJL175W	unknown	unknown	
YJL177W	RPL17B	protein synthesis	ribosomal protein L17B	
YJL179W	PFD1	protein folding	prefoldin subunit 1	
YJL181W	YJL181W	unknown	unknown	G1
YJL182C	YJL182C	unknown	unknown	
YJL183W	MNN11	unknown	mannosyltransferase complex subunit	
YJL184W	YJL184W	unknown	unknown	
YJL185C	YJL185C	unknown	unknown	
YJL187C	SWE1	cell cycle	negative regulator of Cdc28p	G1
YJL188C	YJL188C	unknown	unknown	
YJL189W	RPL39	protein synthesis	ribosomal protein L39	
YJL190C	RPS22A	protein synthesis	ribosomal protein S22A	
YJL191W	RPS14B	protein synthesis	ribosomal protein S14B	
YJL192C	YJL192C	unknown	unknown; similar to E. coli	
YJL193W	YJL193W	unknown	unknown; similar to Sly41p and to triose	
YJL194W	CDC6	DNA replication	pre-initiation complex formation	M/G1
YJL195C	YJL195C	unknown	unknown	M/G1
YJL196C	ELO1	fatty acid metabolism	fatty acid elongation protein	M/G1
YJL197W	UBP12	"protein degradation, ubiquitin-mediated"	ubiquitin-specific protease	
YJL199C	YJL199C	unknown	unknown	
YJL201W	ECM25	cell wall biogenesis	unknown	S
YJL203W	PRP21	mRNA splicing	U2 snRNP activation	
YJL207C	YJL207C	unknown	major facilitator superfamily	
YJL208C	NUC1	mitochondrial recombination	endonuclease	
YJL209W	CBP1	"mRNA stability, COB mRNA"	unknown	
YJL210W	PEX2	peroxisome biogenesis	integral membrane protein	
YJL213W	YJL213W	unknown	unknown; similar to Nocardia aryldialkylphosphatase	
YJL215C	YJL215C	unknown	unknown	
YJL216C	YJL216C	unknown	unknown; similar to Mal62p (glucosidase P1)	
YJL217W	YJL217W	unknown	unknown	G1
YJL219W	HXT9	transport	hexose permease	
YJL220W	YJL220W	unknown	unknown; similar to alpha-D-glucosidase (maltase)	
YJL221C	FSP2	unknown	unknown; similar to maltase	
YJL223C	PAU1	unknown	unknown; similar to members of the Srp1p/Tip1p family	
YJL225C	YJL225C	unknown	unknown; similar to other subtelomerically-encoded proteins	M/G1
YJR001W	YJR001W	unknown	major facilitator superfamily	S/G2
YJR002W	MPP10	rRNA processing	U3 snoRNP protein	
YJR003C	YJR003C	unknown	unknown; similar to human collagen alpha 3 (VI) chain	G2/M
YJR004C	SAG1	mating	alpha-agglutinin	M/G1
YJR005W	APL1	secretion	vesicle coat component	
YJR006W	HYS2	DNA replication	polymerase delta 55 KD subunit	G1
YJR007W	SUI2	protein synthesis	translation initiation factor eIF-2 alpha subunit	
YJR008W	YJR008W	unknown	unknown	
YJR009C	TDH2	glycolysis	glyceraldehyde-3-phosphate dehydrogenase 2	
YJR010C-A	SPC1	secretion	signal peptidase subunit	
YJR010W	MET3	methionine biosynthesis	sulfate adenylyltransferase	S/G2
YJR011C	YJR011C	unknown	unknown	
YJR012C	YJR012C	unknown	unknown	
YJR013W	YJR013W	unknown	unknown; similar to human angiotensin II type 1b	
YJR014W	YJR014W	unknown	unknown	
YJR015W	YJR015W	unknown	unknown; similar to Sng1p and multidrug resistance proteins	
YJR016C	ILV3	isoleucine and valine biosynthesis	dihydroxyacid dehydratase	
YJR017C	ESS1	protein folding	peptidyl-prolyl cis/trans isomerase	
YJR018W	YJR018W	unknown	unknown	
YJR019C	TES1	fatty acid metabolism	peroxisomal acyl-CoA thioesterase	
YJR021C	REC107	"meiosis, recombination"	ds break formation complex subunit	
YJR023C	YJR023C	unknown	unknown; similar to sodium channel proteins	
YJR025C	BNA1	nicotinic acid biosynthesis	3-hydroxyanthranilic acid dioxygenase	
YJR026W	YJR026W	unknown	"unknown; similar to Hyr1p, Ybr244p, and glutathione peroxidases"	
YJR027W	YJR027W	unknown	unknown; similar to E. coli molybdopterin-converting factor	
YJR028W	YJR028W	transcription	TFIIE 66 kD subunit	
YJR030C	YJR030C	unknown	unknown	G1
YJR031C	GEA1	secretion	GDP/GTP exchange factor for ARF	
YJR032W	CPR7	protein folding	peptidyl-prolyl cis/trans isomerase	
YJR033C	YJR033C	unknown	unknown	
YJR034W	PET191	respiration	cytochrome c oxidase assembly	
YJR035W	RAD26	DNA repair	putative helicase	
YJR036C	YJR036C	unknown	putative ubiquitin-protein ligase	
YJR037W	YJR037W	unknown	unknown	
YJR038C	YJR038C	unknown	unknown	
YJR039W	YJR039W	unknown	unknown; similar to Paramecium tetraurelia NADH	
YJR040W	GEF1	transport	"CLC chloride channel, iron transporter"	
YJR041C	YJR041C	unknown	unknown; similar to Podospora anserina NADH dehydrogenase	
YJR042W	NUP85	nuclear protein targeting	nuclear pore protein	
YJR043C	POL32	DNA replication	polymerase delta 55 kD subunit	G1
YJR044C	YJR044C	unknown	unknown; similar to Drosophila yakuba NADH dehydrogenase	
YJR045C	SSC1	mitochondrial protein targeting	"HSP70 family, chaperonin and import motor"	
YJR046W	TAH11	unknown	unknown	
YJR047C	ANB1	protein synthesis	translation initiation factor eIF5A	
YJR048W	CYC1	oxidative phosphorylation	cytochrome-c isoform 1	S/G2
YJR049C	UTR1	unknown	putative ferric reductase	
YJR050W	ISY1	mRNA splicing	unknown; interacts with spliceosome	
YJR051W	OSM1	anaerobic growth (putative)	fumarate reductase	
YJR052W	RAD7	"DNA repair, nucleotide excision"	NEF4 component	
YJR053W	BFA1	unknown	unknown	
YJR054W	YJR054W	unknown	unknown	G1
YJR055W	HIT1	unknown	required for growth at high temperature
YJR056C	YJR056C	unknown	unknown
YJR057W	CDC8	DNA replication	thymidylate kinase
YJR058C	APS2	secretion	AP-1 complex subunit
YJR059W	PTK2	polyamine transport	ser/thr protein kinase
YJR060W	CBF1	mitosis	kinetochore protein
YJR061W	YJR061W	unknown	unknown
YJR063W	RPA12	transcription	RNA polymerase I subunit
YJR065C	ARP3	cytoskeleton	actin-related protein
YJR066W	TOR1	"signaling, cell cycle and meiosis"	phosphatidylinositol 3-kinase
YJR067C	YAE1	unknown	unknown
YJR068W	RFC2	DNA replication	replication factor C 41 kD subunit
YJR069C	HAM1	6-N-hydroxylaminopurine resistance	unknown
YJR070C	YJR070C	unknown	unknown
YJR071W	YJR071W	unknown	unknown
YJR073C	OPI3	phospholipid metabolism	methylene-fatty-acyl-phospholipid synthase
YJR074W	MOG1	unknown	unknown; interacts with Gsp1p
YJR075W	HOC1	protein glycosylation	putative mannosyltransferase
YJR076C	CDC11	cytokinesis	septin
YJR077C	MIR1	transport	mitochondrial phosphate transporter
YJR078W	YJR078W	unknown	"unknown; similar to indoleamine 2,3-dioxygenase"
YJR079W	YJR079W	unknown	unknown
YJR080C	YJR080C	unknown	unknown; similar to Arg8p
YJR082C	YJR082C	unknown	unknown
YJR083C	YJR083C	unknown	unknown
YJR084W	YJR084W	unknown	unknown; similar to human sodium channel protein HI
YJR085C	YJR085C	unknown	unknown
YJR086W	STE18	"signaling, pheromone pathway"	gamma subunit of G protein
YJR087W	YJR087W	unknown	unknown
YJR088C	YJR088C	unknown	unknown
YJR089W	BIR1	unknown	unknown
YJR090C	GRR1	glucose repression (and cell cycle)	cyclin F box protein
YJR091C	JSN1	mitosis (putative)	unknown; suppresses tub2-150	
YJR092W	BUD4	"bud site selection, axial"	unknown	G2/M
YJR093C	FIP1	mRNA polyadenylation	interacts with poly(A) polymerase	
YJR095W	SFC1	transport	mitochondrial succinate-fumarate carrier	
YJR096W	YJR096W	unknown	unknown; similar to aldolase reductase	
YJR097W	YJR097W	unknown	unknown; similar to E. coli DnaJ	
YJR098C	YJR098C	unknown	unknown	
YJR099W	YUH1	"protein degradation, ubiquitin-mediated"	ubiquitin-specific protease	
YJR101W	YJR101W	unknown	unknown; similar to superoxide dismutase	
YJR102C	YJR102C	unknown	unknown	
YJR103W	URA8	pyrimidine biosynthesis	CTP synthase	
YJR104C	SOD1	oxidative stress response	copper-zinc superoxide dismutase	
YJR105W	YJR105W	unknown	unknown; similar to ribokinase	
YJR106W	ECM27	cell wall biogenesis	unknown	
YJR107W	YJR107W	unknown	unknown; similar to acylglycerol lipase	
YJR108W	ABM1	cytoskeleton (putative)	unknown	
YJR109C	CPA2	glutamate metabolism	carbamyl phosphate synthetase
YJR111C	YJR111C	unknown	unknown
YJR113C	YJR113C	protein synthesis	"ribosomal protein, mitochondrial S7 (putative)"
YJR114W	YJR114W	unknown	unknown
YJR115W	YJR115W	unknown	unknown
YJR116W	YJR116W	unknown	unknown
YJR117W	STE24	protein processing	zinc metalloprotease; a-factor precursor processing
YJR118C	ILM1	mitochondrial genome maintenance (putative)	unknown
YJR119C	YJR119C	unknown	unknown; similar to human retinoblastoma binding protein 2
YJR120W	YJR120W	unknown	unknown
YJR121W	ATP2	ATP synthesis	"F1F0-ATPase complex, F1 beta subunit"
YJR122W	CAF17	catabolite repression	component of CCR4 transcriptional complex
YJR123W	RPS5	protein synthesis	ribosomal protein S5
YJR125C	ENT3	endocytosis (putative)	unknown; epsin homolog
YJR126C	YJR126C	unknown	unknown; similar to transferrin receptor
YJR127C	ZMS1	unknown	unknown; similar to Adr1p and Yml081p
YJR128W	YJR128W	unknown	unknown	
YJR129C	YJR129C	unknown	unknown	
YJR131W	MNS1	protein glycosylation	specific alpha-mannosidase	
YJR132W	NMD5	unknown	Nam7p/Upf1p-interacting protein	
YJR133W	XPT1	xanthine utilization	xanthine phosphoribosyltransferase	
YJR134C	SGM1	unknown; growth on galactose or mannose	unknown	
YJR135C	MCM22	"mitosis, chromosome segregation"	unknown	
YJR136C	YJR136C	unknown	unknown	
YJR137C	ECM17	cell wall biogenesis	unknown	S
YJR138W	IML1	plasmid maintenance (outative)	unknown	
YJR139C	HOM6	methionine and threonine biosynthesis	homoserine dehydrogenase	
YJR141W	YJR141W	unknown	unknown	
YJR142W	YJR142W	unknown	unknown; similar to thiamine pyrophosphokinase	
YJR143C	PMT4	protein glycosylation	dolichyl phosphate-D-mannose:protein O-D-mannosyltransferase	
YJR144W	MGM101	mitochondrial genome maintenance	(putative) nucleic acid interactor	
YJR145C	RPS4A	protein synthesis	ribosomal protein S4A	
YJR146W	YJR146W	unknown	unknown	
YJR147W	HMS2	pseudohyphal growth	transcription factor	
YJR148W	BAT2	branched chain amino acid biosynthesis	transaminase	G1
YJR149W	YJR149W	unknown	unknown; similar to 2-nitropropane dioxygenase	
YJR150C	DAN1	unknown	unknown; induced during anaerobic growth	
YJR151C	YJR151C	unknown	unknown	
YJR152W	DAL5	allantoin utilization	allantoate permease	
YJR153W	PGU1	unknown	endo-polygalacturonase	
YJR154W	YJR154W	unknown	unknown	G1
YJR156C	THI11	pyrimidine biosynthesis	thiamine regulated gene	
YJR157W	YJR157W	unknown	unknown	
YJR158W	HXT16	transport	hexose permease	
YJR160C	YJR160C	unknown	unknown; similar to maltose permeases (maltose/H+	
YJR161C	COS5	unknown	unknown; similar to subtelomerically-encoded proteins	
YJR162C	YJR162C	unknown	unknown; similar to subtelomerically-encoded proteins	
YKL001C	MET14	sulfate assimilation	adenylylsulfate kinase	S
YKL002W	YKL002W	unknown	unknown	
YKL003C	MRP17	protein synthesis	"ribosomal protein, mitochondrial small subunit"	
YKL004W	AUR1	sphingolipid metabolism	phosphatidylinositol:ceramide phosphoinositol transferase	S/G2
YKL005C	YKL005C	unknown	"unknown; similar to Drosophila transcription factor TFIIS,"	
YKL006W	RPL14A	protein synthesis	ribosomal protein L14A	
YKL011C	CCE1	tRNA processing	cruciform cutting endonuclease	
YKL012W	PRP40	mRNA splicing	U1 snRNP protein	
YKL013C	ARC19	cytoskeleton	cortical actin patch integrity	
YKL014C	YKL014C	unknown	unknown	
YKL016C	ATP7	ATP synthesis	"F1F0-ATPase complex, FO D subunit"	
YKL017C	HCS1	DNA replication	DNA helicase A	
YKL018W	YKL018W	unknown	unknown	
YKL020C	SPT23	transcription	transcription factor	
YKL027W	YKL027W	unknown	unknown; similar to E. coli molybdopterin-converting factor	
YKL029C	MAE1	pyruvate metabolism	mitochondrial malic enzyme	
YKL033W	YKL033W	unknown	unknown	
YKL035W	UGP1	pyrimidine metabolism	"UGP1, UDP-glucose pyrophosphorylase"	S/G2
YKL036C	YKL036C	unknown	unknown	
YKL037W	YKL037W	unknown	unknown	
YKL038W	RGT1	(glucose) transport	transcriptional regulator of glucose transporters	
YKL040C	NFU1	iron homeostasis	unknown; similar to Anabaena nitrogen fixing protein nifU	
YKL043W	PHD1	pseudohyphal growth	transcription factor	G2/M
YKL044W	YKL044W	unknown	unknown	G2/M
YKL045W	PRI2	DNA replication	polymerase alpha 58 kD subunit (DNA primase)	G1
YKL046C	YKL046C	unknown	unknown	
YKL047W	YKL047W	unknown	unknown	
YKL048C	ELM1	pseudohyphal growth	protein kinase	S/G2
YKL049C	CSE4	"chromatin structure, centromeric"	histone-related	
YKL050C	YKL050C	unknown	unknown	
YKL051W	YKL051W	unknown	unknown	
YKL052C	YKL052C	unknown	unknown	S/G2
YKL053W	YKL053W	unknown	unknown	
YKL054C	YKL054C	unknown	unknown	
YKL055C	OAR1	respiration	3-oxo-acyl-(acyl carrier protein) reductase	
YKL056C	YKL056C	unknown	unknown	
YKL058W	TOA2	transcription	TFIIA 13.5 kD subunit	
YKL059C	YKL059C	unknown	unknown; similar to members of the chaperonin-containing	
YKL060C	FBA1	glycolysis	aldolase	
YKL061W	YKL061W	unknown	unknown	
YKL062W	MSN4	transcription	transcriptional activator with Snf1p	
YKL063C	YKL063C	unknown	unknown	
YKL064W	MNR2	manganese resistance	unknown	
YKL065C	YET1	unknown	ER 25 kDa transmembrane protein	S
YKL066W	YKL066W	unknown	unknown	G1
YKL067W	YNK1	nucleotide metabolism	nucleoside diphosphate kinase	G1
YKL068W	NUP100	nuclear protein targeting	nuclear pore protein	
YKL069W	YKL069W	unknown	unknown	S/G2
YKL070W	YKL070W	unknown	unknown; similar to Bacillus subtilis transcriptional	
YKL071W	YKL071W	unknown	unknown
YKL072W	STB6	unknown	binds Sin3p
YKL073W	LHS1	secretion	chaperone; ER protein translocation
YKL074C	MUD2	mRNA splicing	commitment complex component
YKL075C	YKL075C	unknown	unknown
YKL076C	YKL076C	unknown	unknown
YKL077W	YKL077W	unknown	unknown
YKL078W	YKL078W	unknown	putative RNA helicase
YKL079W	SMY1	cytoskeleton	kinesin-related protein
YKL080W	VMA5	vacuolar acidification	vacuolar H+-ATPase V1 sector subunit
YKL081W	TEF4	protein synthesis	translation elongation factor EF-1gamma
YKL084W	YKL084W	unknown	unknown
YKL085W	MDH1	TCA cycle	malate dehydrogenase
YKL086W	YKL086W	unknown	unknown
YKL087C	CYT2	cytochrome c1 biosynthesis	cytochrome c1 heme lyase
YKL088W	YKL088W	unknown	unknown; similar to Sis2p
YKL089W	MIF2	mitosis	centromere protein	G1
YKL091C	YKL091C	unknown	unknown; similar to Sec14p	
YKL093W	MBR1	mitochondrial biogenesis	unknown	
YKL094W	YJU3	unknown	unknown; similar to E.coli hypothetical protein	
YKL095W	YJU2	unknown	unknown	
YKL096W	CWP1	cell wall protein	"beta-1,6-glucan acceptor"	S/G2
YKL097C	YKL097C	unknown	unknown	
YKL098W	YKL098W	unknown	unknown	
YKL099C	YKL099C	unknown	unknown; similar to human kinesin heavy chain	
YKL100C	YKL100C	unknown	unknown	
YKL101W	HSL1	cell cycle	negative regulator of swe1 kinase	G1
YKL102C	YKL102C	unknown	unknown; similar to potato lipoxygenase	
YKL103C	LAP4	protein degradation	vacuolar aminopeptidase ysc1	G1
YKL104C	GFA1	cell wall biogenesis	chitin biosynthesis	M/G1
YKL105C	YKL105C	unknown	unknown	
YKL106W	AAT1	aspartate metabolism?	"aspartate aminotransferase,"	
YKL107W	YKL107W	unknown	unknown	
YKL108W	SLD2	DNA replication	unknown; interacts with Dpb11p	G1
YKL110C	KTI12	killer toxin resistance	unknown	
YKL112W	ABF1	transcription	ARS-binding factor	
YKL114C	APN1	DNA repair	apurinic/apyrimidinic endonuclease	
YKL116C	YKL116C	unknown	putative protein kinase	M/G1
YKL117W	SBA1	protein folding	Hsp90 associated co-chaperone	
YKL119C	VPH2	vacuolar acidification	vacuolar H+-ATPase assembly protein	
YKL120W	OAC1	transport	oxaloacetate carrier	
YKL122C	SRP21	secretion	signal recognition particle subunit	
YKL123W	YKL123W	unknown	unknown	
YKL124W	SSH4	unknown	suppresses shr3 mutation	
YKL125W	RRN3	transcription	RNA polymerase I transcription factor	
YKL126W	YPK1	unknown	protein kinase	
YKL128C	PMU1	unknown	phosphomutase homolog; suppresses ts tps2 mutant	
YKL129C	MYO3	cytoskeleton	"myosin, class I"	
YKL130C	SHE2	cell polarity	asymmetric HO expression	G2/M
YKL132C	RMA1	unknown; mating (putative)	unknown; similar to folylpolyglutamate synthase	
YKL135C	APL2	secretion	AP-1 complex subunit	
YKL136W	YKL136W	unknown	unknown	
YKL138C	MRPL31	protein synthesis	"ribosomal protein, mitochondrial L31"	
YKL140W	TGL1	glycerolipid metabolism	triglyceride lipase-cholesterol esterase	
YKL142W	MRP8	protein synthesis	"ribosomal protein, mitochondrial small subunit"	
YKL143W	LTV1	unknown	unknown; required for viability at low temperature	
YKL145W	RPT1	"protein degradation, ubiquitin-mediated"	26S proteasome subunit	
YKL149C	DBR1	mRNA splicing	debranching enzyme	
YKL150W	MCR1	electron carrier	cytochrome-b5 reductase	
YKL151C	YKL151C	unknown	unknown	M/G1
YKL152C	GPM1	glycolysis	phosphoglycerate mutase	
YKL153W	YKL153W	unknown	unknown	
YKL154W	SRP102	secretion	signal recognition particle subunit	
YKL155C	YKL155C	unknown	unknown	
YKL156W	RPS27A	protein synthesis	ribosomal protein S27A	
YKL157W	APE2	protein degradation	aminopeptidase yscII	
YKL159C	RCN1	signaling	unknown; calcineurin regulator	
YKL160W	YKL160W	unknown	unknown	
YKL163W	PIR3	unknown	unknown; similar to members of the Pir1p/Hsp150p/Pir3p	M/G1
YKL164C	PIR1	unknown	unknown; Pir1p/Hsp150p/Pir3p family	M/G1
YKL165C	MCD4	sporulation	morphogenesis checkpoint	G1
YKL166C	TPK3	"signaling, nutrient control of cell growth"	cAMP-dependent protein kinase catalytic subunit	
YKL167C	MRP49	protein synthesis	"ribosomal protein, mitochondrial large subunit"	
YKL168C	KKQ8	unknown	protein kinase	
YKL169C	YKL169C	unknown	unknown	
YKL170W	MRPL38	protein synthesis	"ribosomal protein, mitochondrial L38"	
YKL171W	YKL171W	unknown	putative protein kinase	
YKL172W	EBP2	unknown	unknown; EBNA1-binding protein homolog	G2/M
YKL173W	SNU114	mRNA splicing	U5 snRNP protein	
YKL174C	YKL174C	unknown	unknown; similar to Hnm1p and other permeases	
YKL176C	YKL176C	unknown	unknown	
YKL177W	YKL177W	unknown	unknown	M/G1
YKL180W	RPL17A	protein synthesis	ribosomal protein L17A	
YKL181W	PRS1	"purine, pyrimidine, tryptophan and histidine biosynthesis"	phosphoribosylpyrophosphate synthetase	
YKL182W	FAS1	fatty acid metabolism	"fatty-acyl-CoA synthase, beta subunit"	M/G1
YKL183W	YKL183W	unknown	unknown	S/G2
YKL184W	SPE1	polyamine biosynthesis	ornithine decarboxylase	
YKL185W	ASH1	mating type switching	transcription factor	M/G1
YKL186C	MTR2	mRNA export	unknown	
YKL187C	YKL187C	unknown	unknown; similar to 4-mycarosyl isovaleryl-CoA transferase	
YKL188C	PXA2	transport	"peroxisomal fatty acid transporter, ABC family"	
YKL189W	HYM1	unknown	unknown; similar to Aspergillus nidulans hymA which is	
YKL193C	SDS22	glucose repression	Glc7p regulatory subunit	
YKL194C	MST1	protein synthesis	"tRNA synthetase, mitochondrial, threonyl"	
YKL195W	YKL195W	unknown	unknown	
YKL202W	YKL202W	unknown	unknown	
YKL203C	TOR2	"signaling, cell cycle, meiosis and actin cytoskeleton organization"	phosphatidylinositol 3-kinase	
YKL204W	YKL204W	unknown	unknown	
YKL205W	LOS1	tRNA splicing	nuclear pore protein	
YKL206C	YKL206C	unknown	unknown	
YKL207W	YKL207W	unknown	unknown	
YKL208W	CBT1	"mRNA processing, COB mRNA"	unknown	
YKL209C	STE6	mating	a-factor exporter (ABC superfamily)	G2/M
YKL211C	TRP3	tryptophan biosynthesis	anthranilate synthase component II and indole-3-phosphate synthase	
YKL212W	SAC1	secretion	ER/Golgi ATP/ADP exchanger	
YKL213C	DOA1	"protein degradation, ubiquitin-mediated"	unknown	
YKL216W	URA1	pyrimidine biosynthesis	dihydroorotate dehydrogenase	
YKL217W	JEN1	transport	lactate transporter	
YKL218C	SRY1	serine metabolism	serine racemase	
YKL219W	COS9	unknown	unknown; similar to subtelomerically-encoded proteins	
YKL220C	FRE2	iron homeostasis	ferric (and cupric) reductase	
YKL221W	YKL221W	unknown	unknown; similar to mammalian monocarboxylate	
YKL222C	YKL222C	unknown	"unknown; similar to transcription factors, has Zn[2]-Cys[6]"	
YKL224C	YKL224C	unknown	"unknown; similar to Ybr301p, member of the PAU1 family"	
YKL225W	YKL225W	unknown	unknown	
YKR002W	PAP1	mRNA polyadenylation	poly(A) polymerase	
YKR004C	ECM9	cell wall biogenesis	unknown	
YKR006C	MRPL13	protein synthesis	"ribosomal protein, mitochondrial L13"	
YKR007W	YKR007W	unknown	unknown	
YKR008W	RSC4	chromatin structure	chromatin remodeling complex subunit	
YKR009C	FOX2	fatty acid metabolism	peroxisomal beta-oxidation protein	
YKR010C	TOF2	DNA replication (putative)	interacts with DNA	S
YKR011C	YKR011C	unknown	unknown	
YKR012C	YKR012C	unknown	unknown	G1
YKR013W	PRY2	unknown	unknown; similar to plant PR-pathogen related proteins	G1
YKR014C	YPT52	endocytosis	"GTP-binding protein, rab family"	
YKR015C	YKR015C	unknown	unknown	
YKR016W	YKR016W	unknown	unknown	
YKR017C	YKR017C	unknown	unknown	
YKR018C	YKR018C	unknown	unknown	
YKR019C	IRS4	silencing (rDNA)	unknown	
YKR020W	YKR020W	unknown	unknown	
YKR021W	YKR021W	unknown	unknown	G2/M
YKR022C	YKR022C	unknown	unknown	
YKR023W	YKR023W	unknown	unknown	
YKR024C	DBP7	ribosome biogenesis	putative RNA helicase	
YKR025W	RPC37	transcription	RNA polymerase III 37 kDa subunit	
YKR026C	GCN3	protein synthesis	translation initiation factor EIF2B	
YKR027W	YKR027W	unknown	unknown	
YKR028W	SAP190	cell cycle	Sit4p-associated protein	
YKR029C	YKR029C	unknown	unknown; similar to E(z) Enhancer of zeste in the C-terminal	
YKR030W	YKR030W	unknown	unknown	
YKR032W	YKR032W	unknown	unknown	
YKR033C	YKR033C	unknown	unknown; similar to Gat1p	
YKR034W	DAL80	nitrogen catabolism	transcription factor	
YKR035C	YKR035C	unknown	unknown	
YKR036C	CAF4	catabolite repression	component of CCR4 transcriptional complex	
YKR037C	SPC34	cytoskeleton	spindle pole body component	S
YKR038C	YKR038C	unknown	unknown; similar to Qri7p and Pasteurella haemolytica	
YKR041W	YKR041W	unknown	unknown	S/G2
YKR042W	UTH1	aging	unknown	G2/M
